bond_id,issuer_name,total_USD_allocated,geo_sum_USD,difference_USD
10608,France,38256400923.29,38594107851.37,-337706928.08000183
10529,European Union,15519856500.68,15230272130.73,289584369.95000076
20949,Prologis European Logistics Fund,681270445.14,518446808.75,162823636.39
19579,Castle Peak Power Company,300000000.0,258000000.0,42000000.0
17732,SK Hynix,1000000000.0,981739642.65,18260357.350000024
18435,Ignitis Group,345317731.0,329276964.3,16040766.699999988
19831,Derichebourg,345317731.0,361248803.22,-15931072.220000029
19525,Caixabank,1151059103.0,1165277069.05,-14217966.049999952
19955,Republic of Korea,552508369.37,564263866.6,-11755497.23000002
17354,Union Pacific,590800000.0,602161278.36,-11361278.360000014
22889,Engie,310785957.65,299587389.19,11198568.459999979
9614,ProCredit Holding,12661650.0,1482565.26,11179084.74
22345,SNCF Reseau,1018687306.45,1016324771.4,2362535.0500000715
10166,Landesbank Baden-Wuerttemberg (LBBW),27625418.0,25429197.27,2196220.7300000004
20465,Bank of China (Singapore Branch),500000000.0,499100000.0,900000.0
20660,Prologis European Logistics Fund,626523772.23,625711260.3199999,812511.9100000858
9840,Deutsche Bank,57552955.0,58232079.86,-679124.8599999994
11280,MTR Corporation,38299006.0,38929687.0,-630681.0
10297,Landesbank Baden-Wuerttemberg (LBBW),27625418.0,27161541.19,463876.80999999866
7548,Belgium,2798685102.85,2798405234.34,279868.50999975204
16207,BNP Paribas,100000000.0,99768019.65,231980.34999999404
19647,Cadent Gas,617773420.26,617543208.44,230211.81999993324
9784,Deutsche Bank,9208472.82,9301252.8,-92779.98000000045
14516,UiTM Solar Power Dua,2491901.0,2439571.08,52329.919999999925
14536,UiTM Solar Power Dua,2491901.0,2439571.08,52329.919999999925
19287,Digital Realty Trust Inc,854808143.77,854823441.34,-15297.570000052452
18756,Prologis European Logistics Fund,513050638.57,513053927.15,-3288.5799999833107
19551,CTP N.V.,571978530.22,571979681.27,-1151.0499999523163
10962,Natixis,6791248.69,6790320.95,927.7400000002235
20621,Selp Finance,858528942.31,858529800.84,-858.5300000905991
20671,Orsted,1030437688.42,1030437379.9300001,308.48999989032745
